song_title,artist,youtube_url,start_time,amp_model,gain,volume,treble,middle,bass,stomp_fx,mod_fx,delay_fx,reverb_fx
sanitarium rhythm clean,metallica,https://www.youtube.com/watch?v=8V7xhAlp2Sg,0,Twin Clean,3.0,4.2,8.0,5.0,4.0,"{""type"": ""5 Band EQ"", ""settings"": {""low"": 2.0, ""low_mid"": -1.5, ""mid"": -12.0, ""high_mid"": 10.0, ""high"": 7.5}}","{""type"": ""Chorus"", ""settings"": {""level"": 9.0, ""speed"": 4.6, ""depth"": 3.5}}","{""type"": ""Echo"", ""settings"": {""level"": 1.5, ""time"": 400, ""feedback"": 3.2, ""wow"": 5.5}}","{""type"": ""Arena"", ""settings"": {""level"": 3.0, ""decay"": 5.5, ""tone"": 5.5}}"
Glory Box,Portishead,https://www.youtube.com/watch?v=4qQyUi4zfDs,97,Champ,3.0,5.0,5.5,5.5,5.0,"{""type"": ""Big Fuzz"", ""settings"": {""level"": 9.0, ""tone"": 5.0, ""sustain"": 5.0}}","{""type"": ""Vibratone"", ""settings"": {""level"": 7.5, ""speed"": 7.0, ""depth"": 4.5, ""feedback"": 7.0, ""phase"": 5.5}}",None,"{""type"": ""Spring 65"", ""settings"": {""level"": 5.0, ""decay"": 5.0, ""tone"": 5.0}}"
Tom Sawyer,Rush,https://www.youtube.com/watch?v=MNrI4MSTXBU,52,50s Twin,10.0,8.0,7.0,9.5,4.5,None,"{""type"": ""Flanger"", ""settings"": {""level"": 6.0, ""speed"": 3.0, ""depth"": 7.0, ""feedback"": 8.0}}","{""type"": ""Delay"", ""settings"": {""level"": 3.0, ""time"": 400, ""feedback"": 6.5, ""tone"": 3.5}}","{""type"": ""Small Room"", ""settings"": {""level"": 5.5, ""decay"": 5.5, ""tone"": 5.5}}"
Stick It Out,Rush,https://www.youtube.com/watch?v=ZNnWEZeJqoc,0,Burn,8.4,5.7,10.0,1.0,4.5,"{""type"": ""5 Band EQ"", ""settings"": {""low"": 0.0, ""low_mid"": 0.0, ""mid"": 2.0, ""high_mid"": 0.0, ""high"": -7.5}}","{""type"": ""Chorus"", ""settings"": {""level"": 10.0, ""speed"": 1.3, ""depth"": 3.5}}",None,None
Xanadu,Rush,https://www.youtube.com/watch?v=SEuOoMprDqg,455,Burn,10.0,4.9,8.9,7.6,4.1,"{""type"": ""Myth Drive"", ""settings"": {""level"": 10.0, ""gain"": 5.0, ""treble"": 5.0}}","{""type"": ""Chorus"", ""settings"": {""level"": 6.6, ""speed"": 3.1, ""depth"": 2.7}}","{""type"": ""Echo"", ""settings"": {""level"": 2.9, ""time"": 200, ""feedback"": 3.0, ""wow"": 3.0}}","{""type"": ""Small Room"", ""settings"": {""level"": 5.5, ""decay"": 5.5, ""tone"": 5.5}}"
Mardy Bum,Arctic Monkeys,https://www.youtube.com/watch?v=XMRnlCpTWI4,0,Twin Clean,4.0,5.7,6.0,5.5,6.0,"{""type"": ""Compressor"", ""settings"": {""type"": ""mid""}}",None,None,"{""type"": ""Spring 65"", ""settings"": {""level"": 5.5, ""decay"": 4.5, ""tone"": 10.0}}"
Riot Van,Arctic Monkeys,https://www.youtube.com/watch?v=a62FZZa3fjE,0,Princeton,3.3,9.0,7.5,8.2,2.5,"{""type"": ""Compressor"", ""settings"": {""type"": ""mid""}}","{""type"": ""Tremolo"", ""settings"": {""level"": 7.0, ""speed"": 6.4}}","{""type"": ""Delay"", ""settings"": {""level"": 2.5, ""time"": 400, ""feedback"": 4.3, ""tone"": 5.3}}","{""type"": ""Arena"", ""settings"": {""level"": 4.5, ""decay"": 8.5, ""tone"": 4.6}}"
chase,batta,https://www.youtube.com/watch?v=oDba5-eFQJE,0,70s Uk Cln,9.0,6.0,10.0,4.0,5.5,"{""type"": ""Blues Drive"", ""settings"": {""level"": 8.1, ""gain"": 7.6, ""tone"": 5.0, ""blend"": 5.0}}",None,"{""type"": ""Echo"", ""settings"": {""level"": 5.0, ""time"": 300, ""feedback"": 5.0, ""wow"": 5.0}}","{""type"": ""Plate"", ""settings"": {""level"": 1.0, ""decay"": 2.5, ""tone"": 5.5}}"
Apple Cider,Beabadoobee,https://www.youtube.com/watch?v=laDnsiKURTQ,0,50s Twin,4.5,10.0,7.0,10.0,10.0,"{""type"": ""Myth Drive"", ""settings"": {""level"": 6.5, ""gain"": 5.0, ""treble"": 5.0}}","{""type"": ""Chorus"", ""settings"": {""level"": 10.0, ""speed"": 4.0, ""depth"": 4.5}}","{""type"": ""Delay"", ""settings"": {""level"": 2.5, ""time"": 316, ""feedback"": 3.0, ""tone"": 4.5}}","{""type"": ""Plate"", ""settings"": {""level"": 4.0, ""decay"": 9.5, ""tone"": 1.5}}"
Animal Nitrate,Suede,https://www.youtube.com/watch?v=i7mEB2wnDLQ,127,60s Uk Cln,5.0,9.0,7.0,4.0,5.0,"{""type"": ""Rock Dirt"", ""settings"": {""level"": 6.5, ""distort"": 5.0, ""filter"": 5.0}}","{""type"": ""Flanger"", ""settings"": {""level"": 7.5, ""speed"": 3.0, ""depth"": 7.0, ""feedback"": 8.0}}",None,"{""type"": ""Large Hall"", ""settings"": {""level"": 6.5, ""decay"": 4.0, ""tone"": 5.0}}"
