song_title,artist,youtube_url,start_time,amp_model,gain,volume,treble,middle,bass,stomp_fx,mod_fx,delay_fx,reverb_fx,spectral_centroid,spectral_rolloff,spectral_flatness,mfccs,active_rms,crest_factor,rms_frames,stomp_score,mod_score,reverb_score,delay_score,delay_time_ms
sanitarium rhythm clean,metallica,https://www.youtube.com/watch?v=8V7xhAlp2Sg,0,Twin Clean,3.0,4.2,8.0,5.0,4.0,"{""type"": ""5 Band EQ"", ""settings"": {""low"": 2.0, ""low_mid"": -1.5, ""mid"": -12.0, ""high_mid"": 10.0, ""high"": 7.5}}","{""type"": ""Chorus"", ""settings"": {""level"": 9.0, ""speed"": 4.6, ""depth"": 3.5}}","{""type"": ""Echo"", ""settings"": {""level"": 1.5, ""time"": 400, ""feedback"": 3.2, ""wow"": 5.5}}","{""type"": ""Arena"", ""settings"": {""level"": 3.0, ""decay"": 5.5, ""tone"": 5.5}}",1035.1543733788792,2257.263921693314,0.00019731381,"[-304.2709655761719, 192.63624572753906, -54.584434509277344, 51.009464263916016]",0.04521492123603821,5.8253834184824225,[0.00025801 0.0025843  0.00508482 ... 0.02153436 0.0181625  0.01476599],3.387137985555455e-05,0.11728021502494812,0.0,0.9791253209114075,92.87981859410431
Glory Box,Portishead,https://www.youtube.com/watch?v=4qQyUi4zfDs,97,Champ,3.0,5.0,5.5,5.5,5.0,"{""type"": ""Big Fuzz"", ""settings"": {""level"": 9.0, ""tone"": 5.0, ""sustain"": 5.0}}","{""type"": ""Vibratone"", ""settings"": {""level"": 7.5, ""speed"": 7.0, ""depth"": 4.5, ""feedback"": 7.0, ""phase"": 5.5}}",,"{""type"": ""Spring 65"", ""settings"": {""level"": 5.0, ""decay"": 5.0, ""tone"": 5.0}}",1430.743137827714,2264.4627376213384,0.00020807888,"[-209.19607543945312, 197.03453063964844, -107.5794906616211, 24.076618194580078]",0.0840168446302414,6.786295556604534,"[9.4003126e-02 1.1774309e-01 1.3658090e-01 ... 3.5113542e-05 3.0067969e-05
 2.5499938e-05]",3.0661627533845603e-05,0.2405998557806015,1.0,0.9695079922676086,92.87981859410431
Tom Sawyer,Rush,https://www.youtube.com/watch?v=MNrI4MSTXBU,52,50s Twin,10.0,8.0,7.0,9.5,4.5,,"{""type"": ""Flanger"", ""settings"": {""level"": 6.0, ""speed"": 3.0, ""depth"": 7.0, ""feedback"": 8.0}}","{""type"": ""Delay"", ""settings"": {""level"": 3.0, ""time"": 400, ""feedback"": 6.5, ""tone"": 3.5}}","{""type"": ""Small Room"", ""settings"": {""level"": 5.5, ""decay"": 5.5, ""tone"": 5.5}}",1515.7651600651998,2495.669930938225,0.00057679886,"[-341.1903991699219, 190.51483154296875, -116.81428527832031, 22.55823516845703]",0.016649752855300903,5.300855568109248,[0.01156902 0.01321812 0.01493355 ... 0.01530215 0.01281656 0.00981863],0.0001088123899535276,0.02279917150735855,0.0,0.9869643449783325,92.87981859410431
Stick It Out,Rush,https://www.youtube.com/watch?v=ZNnWEZeJqoc,0,Burn,8.4,5.7,10.0,1.0,4.5,"{""type"": ""5 Band EQ"", ""settings"": {""low"": 0.0, ""low_mid"": 0.0, ""mid"": 2.0, ""high_mid"": 0.0, ""high"": -7.5}}","{""type"": ""Chorus"", ""settings"": {""level"": 10.0, ""speed"": 1.3, ""depth"": 3.5}}",,,1604.5879205108395,3060.7130315486056,0.0024373312,"[-118.22215270996094, 146.52919006347656, -66.75550079345703, 55.18257522583008]",0.15221074223518372,5.4771283745406665,[0.00027356 0.00034119 0.00040121 ... 0.12532684 0.1138619  0.09928089],0.00044500158401206136,0.20489874482154846,0.0,0.985970139503479,92.87981859410431
Xanadu,Rush,https://www.youtube.com/watch?v=SEuOoMprDqg,455,Burn,10.0,4.9,8.9,7.6,4.1,"{""type"": ""Myth Drive"", ""settings"": {""level"": 10.0, ""gain"": 5.0, ""treble"": 5.0}}","{""type"": ""Chorus"", ""settings"": {""level"": 6.6, ""speed"": 3.1, ""depth"": 2.7}}","{""type"": ""Echo"", ""settings"": {""level"": 2.9, ""time"": 200, ""feedback"": 3.0, ""wow"": 3.0}}","{""type"": ""Small Room"", ""settings"": {""level"": 5.5, ""decay"": 5.5, ""tone"": 5.5}}",1264.4071297868288,2051.954846320505,0.00014885215,"[-354.89581298828125, 190.5991668701172, -99.06863403320312, -17.972564697265625]",0.028634311631321907,6.879993938135009,"[5.2720238e-04 5.2853598e-04 5.3321512e-04 ... 4.4196397e-05 3.4732413e-05
 2.6585854e-05]",2.1635503799188882e-05,0.07047807425260544,1.0,0.9774487018585205,92.87981859410431
Mardy Bum,Arctic Monkeys,https://www.youtube.com/watch?v=XMRnlCpTWI4,0,Twin Clean,4.0,5.7,6.0,5.5,6.0,"{""type"": ""Compressor"", ""settings"": {""type"": ""mid""}}",,,"{""type"": ""Spring 65"", ""settings"": {""level"": 5.5, ""decay"": 4.5, ""tone"": 10.0}}",1701.3815714548916,2797.5707032810005,0.00036695474,"[-205.72994995117188, 159.28607177734375, -110.3486328125, 43.15333557128906]",0.08972717076539993,6.969415666978662,[0.00026167 0.0003214  0.00037186 ... 0.01182964 0.01115028 0.01090246],5.265214713290334e-05,0.3240056037902832,1.0,0.9552737474441528,92.87981859410431
Riot Van,Arctic Monkeys,https://www.youtube.com/watch?v=a62FZZa3fjE,0,Princeton,3.3,9.0,7.5,8.2,2.5,"{""type"": ""Compressor"", ""settings"": {""type"": ""mid""}}","{""type"": ""Tremolo"", ""settings"": {""level"": 7.0, ""speed"": 6.4}}","{""type"": ""Delay"", ""settings"": {""level"": 2.5, ""time"": 400, ""feedback"": 4.3, ""tone"": 5.3}}","{""type"": ""Arena"", ""settings"": {""level"": 4.5, ""decay"": 8.5, ""tone"": 4.6}}",947.1618288841318,1873.0775529156633,0.00022249861,"[-357.5933532714844, 179.2012176513672, -22.21990966796875, 62.217552185058594]",0.03927374631166458,7.1894683930470835,"[2.3537885e-05 2.9171530e-05 3.4220117e-05 ... 2.5696704e-02 2.2150567e-02
 1.8550880e-02]",3.094784915447235e-05,0.2407955527305603,1.0,0.956718921661377,92.87981859410431
chase,batta,https://www.youtube.com/watch?v=oDba5-eFQJE,0,70s Uk Cln,9.0,6.0,10.0,4.0,5.5,"{""type"": ""Blues Drive"", ""settings"": {""level"": 8.1, ""gain"": 7.6, ""tone"": 5.0, ""blend"": 5.0}}",,"{""type"": ""Echo"", ""settings"": {""level"": 5.0, ""time"": 300, ""feedback"": 5.0, ""wow"": 5.0}}","{""type"": ""Plate"", ""settings"": {""level"": 1.0, ""decay"": 2.5, ""tone"": 5.5}}",2256.34063292207,3587.377951427538,0.0023226212,"[-153.5740509033203, 133.1441192626953, -125.4266357421875, 62.2415771484375]",0.07321988791227341,4.402535999742422,[0.00023447 0.0002871  0.00033148 ... 0.05618669 0.04851913 0.03769325],0.0005275642615742981,0.06233685463666916,0.0,0.9936364889144897,92.87981859410431
Apple Cider,Beabadoobee,https://www.youtube.com/watch?v=laDnsiKURTQ,0,50s Twin,4.5,10.0,7.0,10.0,10.0,"{""type"": ""Myth Drive"", ""settings"": {""level"": 6.5, ""gain"": 5.0, ""treble"": 5.0}}","{""type"": ""Chorus"", ""settings"": {""level"": 10.0, ""speed"": 4.0, ""depth"": 4.5}}","{""type"": ""Delay"", ""settings"": {""level"": 2.5, ""time"": 316, ""feedback"": 3.0, ""tone"": 4.5}}","{""type"": ""Plate"", ""settings"": {""level"": 4.0, ""decay"": 9.5, ""tone"": 1.5}}",1590.4409838460126,3092.7653632567594,0.00081294327,"[-186.94717407226562, 158.44273376464844, -68.33251953125, 79.69550323486328]",0.08923052996397018,4.849683536860881,"[4.0235493e-05 4.9726947e-05 5.9015583e-05 ... 7.0400208e-02 5.6100026e-02
 4.5206126e-02]",0.00016762806626502424,0.13486641645431519,0.0,0.9888595938682556,92.87981859410431
Animal Nitrate,Suede,https://www.youtube.com/watch?v=i7mEB2wnDLQ,127,60s Uk Cln,5.0,9.0,7.0,4.0,5.0,"{""type"": ""Rock Dirt"", ""settings"": {""level"": 6.5, ""distort"": 5.0, ""filter"": 5.0}}","{""type"": ""Flanger"", ""settings"": {""level"": 7.5, ""speed"": 3.0, ""depth"": 7.0, ""feedback"": 8.0}}",,"{""type"": ""Large Hall"", ""settings"": {""level"": 6.5, ""decay"": 4.0, ""tone"": 5.0}}",2109.031997271226,4352.837922346288,0.00453942,"[-96.8380355834961, 123.37738037109375, -63.259796142578125, 52.09516906738281]",0.11093425005674362,5.13543349318934,[0.07000156 0.08204061 0.09003404 ... 0.15855704 0.14203179 0.11943884],0.0008839407237246633,0.11833930760622025,0.0,0.9872064590454102,92.87981859410431
